,id,text
0,1545,Экологические аспекты разработки месторождений урана способом подземного скважинного выщелачивания
1,1546,13 декабря 2011  Лариса Николаевна Гребцова
2,1547,МРНТИ 52.31.61
3,1548,"В статье приведены результаты мониторинга за состоянием пластовых вод участков месторождений после подземного скважинного выщелачивания урана. Установлены сроки самонейтрализации и принудительной нейтрализации рудоносных горизонтов.
	: подземное скважинное выщелачивание, уран, принудительная нейтрализация рудоносных горизонтов."
4,1549,"Мақалада жерасты ұңғылап сілтілеу әдісімен уран өндірілген кен орында- рындағы жер асты қабаттық сулардың күйін мониторингтеу нәтижелері кел- тірілген. Кен қабаттарындағы жер асты суларының өз еркімен және еріксіз табиғи тепе-теңдік қаллына келетін мерзімдері белгіленген
	: жерасты ұңғылап сілтілеу (шаймалау), уран, кен қабатта- рын еріксіз бейтараптандыру."
5,1550,"Provide monitoring results of the reservoir waters of field sites after in-situ leaching of uranium. Timing for self-neutralization, and forced neutralization of the ore-bearing horizons are established.
	: in-situ leaching, uranium, forced neutralization of the ore-bearing horizons."
6,1551,Горное дело
7,1555,"(Полный текст: Архив, 2011г., №3-4, С. 74-82)"
8,1556,Перспективы получения вяжущих материалов по результатам испытаний опытно-экспериментального образца мельницы ударного импульса
9,1557,13 декабря 2011  Лариса Николаевна Гребцова
